recipe_id,veg_1,veg_2,veg_3,veg_4,veg_5,category
3492900,radish,,,,,chinese
6086843,radish,carrot,,,,japanese
7491779,radish,chinese cabbage,onion,,,chinese
4227459,carrot,,,,,western
7610687,carrot,,,,,chinese
4189582,eggplant,onion,tomato,,tomato,western
7119631,corn,green onion,,,,chinese
2178149,onion,,,,,western
7525386,potato,onion,garlic,,,chinese
7154826,corn,carrot,,,,chinese
3946862,potato,,,,,western
217785,chinese cabbage,green onion,,,,japanese
3494189,tomato,cabbage,asparagus,potato,,western
6695479,cabbage,carrot,ginger,,,chinese
4936133,asparagus,broccoli,,,,chinese
6533077,asparagus,,,,,western
6399016,sweet potato,carrot,eggplant,,ginger,chinese
4077134,potato,,,,,japanese
7489410,corn,tomato,,,,western
490976,onion ,,,,,japanese
834431,onion,,,,,western
6907770,onion ,tomato,ginger,,,japanese
4467115,tomato,garlic,,,,western
7507822,carrot,onion,bean sprouts,,,chinese
1423190,garlic,bell pepper,,,,western
7506303,eggplant,,,,,chinese
7417833,broccoli,radish,,,,western
1574632,tomato,eggplant,,,,japanese
545861,onion,tomato,,,,western
6733635,lettuce,green onion,,,,chinese
1815678,sweet potato,,,,,western
5672094,onion,,,,,chinese
895942,radish,green onion,onion,,,japanese
3905303,asparagus,onion,cabbage,,,western
5916713,eggplant,,,,,japanese
7676192,onion,garlic,potato,,,western
7610138,onion,,carrot,,,chinese
4672730,garlic,,,,,western
2827246,eggplant,,,,,japanese
479601,sweet potato,carrot,broccoli,,,western
2468990,ginger,,,,,japanese
2986916,radish,cucumber,,,,chinese
7600465,bean sprouts,cucumber,garlic,,,chinese
2276352,tomato,green onion,garlic,,,japanese
4499395,broccoli,bell pepper,onion,,,western
5075390,chinese cabbage,bean sprouts,,,,japanese
3551614,pumpkin,green onion,,,,chinese
6199971,onion ,,,,,japanese
6301217,onion,ginger,,,,western
1204823,eggplant,garlic,,,,japanese
1262825,sweet potato,,,,,western
6164163,carrot,,,,,japanese
6079263,carrot,green onion,chinese cabbage,,,western
2846508,pumpkin,,,,,japanese
1260415,sweet potato,onion,,,,western
7236617,eggplant,green onion,ginger,garlic,,chinese
7380395,tomato,,,,,western
2243164,tomato,,,,,japanese
3741165,carrot,,,,,western
2823238,radish,,,,,japanese
1401377,carrot,,,,,japanese
1369440,chinese cabbage,,,,,japanese
389646,radish,onion,cabbage,,,japanese
4395167,tomato,tomato,,,,western
6394554,potato,,,,,japanese
6542535,onion ,tomato,,,,japanese
7440865,eggplant,,,,,chinese
3712385,tomato,,,,,western
2799573,tomato,cucumber,garlic,,,japanese
1895694,tomato,,,,,japanese
7236794,tomato,broccoli,,,,japanese
2192311,carrot,onion,,,,western
3951937,tomato,,,,,japanese
555342,tomato,lettuce,,,,japanese
3117507,onion,potato,,,,western
2854436,ginger,garlic,,,,japanese
7107444,corn,bean sprouts,cucumber,,,chinese
890272,radish,,,,,japanese
825273,asparagus,potato,garlic,radish,carrot,western
2158410,bell pepper,cabbage,green onion,,,japanese
7686243,carrot,,,,,western
7410185,carrot,,,,,japanese
4696571,asparagus,carrot,,,,chinese
6335319,lettuce,,,,,chinese
4712756,radish,,tomato,,,japanese
5269331,eggplant,cabbage,radish,,,western
4879420,asparagus,,,,,japanese
5417404,onion,tomato,,,,western
3607104,asparagus,onion,,,,chinese
4347070,tomato,garlic,green onion,carrot,,western
5782924,tomato,garlic,,,,japanese
2410317,carrot,,,,,japanese
2330900,eggplant,onion,garlic,,,western
2382500,cucumber,,,,,japanese
7087015,cabbage,,,,,chinese
7300968,cabbage,bean sprouts,,,,chinese
6388486,radish,,,,,chinese
3821532,carrot,,,,,japanese
2457140,pumpkin,,,,,japanese
4307291,tomato,corn,green onion,,,japanese
7131968,chinese cabbage,onion,,,,western
701320,onion ,,,,,japanese
5014751,potato,,,,,chinese
569447,eggplant,onion,cabbage,tomato,,western
